"","diags","Freq"
"1","",2073
"2","     ",8879
"3","1103",1
"4","1120",2
"5","1122",1
"6","1123",1
"7","11283",1
"8","11284",2
"9","1129",1
"10","1173",1
"11","135",1
"12","138",1
"13","1400",2
"14","1403",1
"15","1430",1
"16","1431",2
"17","1449",1
"18","1452",7
"19","1453",3
"20","1455",2
"21","1458",1
"22","1471",1
"23","1472",1
"24","1473",1
"25","1478",4
"26","1536",1
"27","1539",1
"28","1600",337
"29","1602",399
"30","1603",161
"31","1604",22
"32","1605",37
"33","1608",180
"34","1609",20
"35","1623",1
"36","1700",15
"37","1710",3
"38","1714",1
"39","1723",2
"40","1724",1
"41","1725",1
"42","1728",1
"43","1731",2
"44","1733",10
"45","1748",1
"46","1749",1
"47","185",2
"48","1888",1
"49","1901",15
"50","1907",4
"51","1908",1
"52","1918",1
"53","1919",1
"54","1921",1
"55","1928",1
"56","1948",1
"57","1950",2
"58","1960",53
"59","1961",2
"60","1970",5
"61","1973",67
"62","1977",2
"63","1978",1
"64","1982",12
"65","1983",40
"66","1984",103
"67","1985",187
"68","19889",120
"69","20280",1
"70","20401",1
"71","20410",2
"72","2102",1
"73","2104",1
"74","2120",16
"75","2130",2
"76","2131",1
"77","2150",1
"78","2163",1
"79","2166",2
"80","2252",2
"81","2271",2
"82","22802",1
"83","2318",10
"84","2319",1
"85","2330",1
"86","2340",1
"87","2387",1
"88","2409",1
"89","2410",1
"90","24200",2
"91","2440",4
"92","2441",2
"93","2449",45
"94","2452",1
"95","25000",83
"96","25001",9
"97","25002",5
"98","25060",1
"99","25061",1
"100","25090",1
"101","25091",1
"102","25093",1
"103","2512",2
"104","25200",1
"105","25201",1
"106","2532",2
"107","2535",4
"108","2536",4
"109","2551",1
"110","2554",1
"111","260",1
"112","261",1
"113","2630",2
"114","2639",11
"115","2662",1
"116","2689",1
"117","2720",55
"118","2721",1
"119","2724",34
"120","2738",1
"121","2740",1
"122","2749",11
"123","2752",11
"124","2753",4
"125","2754",1
"126","27541",2
"127","2760",4
"128","2761",47
"129","2762",9
"130","2763",4
"131","2764",3
"132","2765",7
"133","27650",1
"134","2766",10
"135","2767",9
"136","2768",35
"137","2769",4
"138","2780",1
"139","27800",11
"140","27801",4
"141","2800",6
"142","2809",3
"143","2810",1
"144","2813",1
"145","2814",1
"146","2819",2
"147","2851",85
"148","28522",1
"149","28529",1
"150","2858",1
"151","2859",52
"152","2869",4
"153","2875",6
"154","2879",1
"155","28860",3
"156","2888",3
"157","28981",2
"158","2900",1
"159","2903",1
"160","2910",1
"161","2912",2
"162","2918",1
"163","29181",3
"164","29212",2
"165","29281",2
"166","2929",1
"167","2930",5
"168","2939",7
"169","29410",2
"170","2948",4
"171","2949",1
"172","29520",1
"173","29595",1
"174","29620",1
"175","29623",1
"176","29626",1
"177","2967",1
"178","2971",1
"179","2989",5
"180","30000",16
"181","3004",3
"182","30122",1
"183","30390",5
"184","30393",1
"185","30500",4
"186","30501",2
"187","30503",2
"188","3051",57
"189","30511",1
"190","30520",1
"191","30521",2
"192","30523",1
"193","30563",3
"194","3061",1
"195","3079",2
"196","3090",4
"197","30928",1
"198","30981",1
"199","3100",1
"200","311",16
"201","31400",1
"202","3152",1
"203","3159",1
"204","3202",1
"205","3203",1
"206","32082",6
"207","3209",1
"208","3229",6
"209","3240",6
"210","32723",3
"211","3310",3
"212","3313",1
"213","3314",5
"214","3320",2
"215","3321",1
"216","3331",2
"217","3332",2
"218","33818",1
"219","33829",1
"220","340",2
"221","3418",1
"222","34290",1
"223","34291",1
"224","34292",1
"225","3449",2
"226","3453",1
"227","34590",2
"228","34690",4
"229","347",1
"230","3480",1
"231","3483",2
"232","34831",1
"233","3484",2
"234","3485",10
"235","3488",37
"236","3490",2
"237","3492",1
"238","34931",1
"239","34981",17
"240","34989",1
"241","35",1
"242","3501",1
"243","3510",2
"244","3519",1
"245","3526",3
"246","3530",1
"247","3569",2
"248","3572",2
"249","3594",1
"250","36089",1
"251","36250",5
"252","36262",1
"253","36281",1
"254","36330",1
"255","36500",1
"256","36520",1
"257","36589",2
"258","3659",10
"259","3669",3
"260","3682",29
"261","36840",1
"262","3688",5
"263","3689",1
"264","36900",2
"265","36960",4
"266","3698",2
"267","3699",4
"268","37024",1
"269","37034",3
"270","37140",2
"271","37189",1
"272","37230",2
"273","37239",1
"274","37240",1
"275","37272",1
"276","37273",5
"277","37300",2
"278","37410",5
"279","37414",1
"280","37420",3
"281","37423",1
"282","37430",4
"283","37433",1
"284","37500",1
"285","37520",1
"286","37521",1
"287","37522",1
"288","37530",1
"289","37532",1
"290","37553",1
"291","37554",1
"292","37556",4
"293","37561",2
"294","37569",1
"295","37601",5
"296","37610",1
"297","37630",9
"298","37633",5
"299","37689",2
"300","37739",1
"301","37749",4
"302","37831",1
"303","37842",1
"304","37851",3
"305","37852",1
"306","37853",2
"307","37854",4
"308","37855",1
"309","37921",1
"310","37923",1
"311","37943",1
"312","37990",2
"313","37999",1
"314","381",1
"315","38110",1
"316","3814",1
"317","38181",1
"318","3819",1
