"","year","hospital","sum"
"1",1988,6002,2
"2",1988,6003,1
"3",1988,6009,1
"4",1988,6028,2
"5",1988,6031,1
"6",1988,6049,1
"7",1988,6139,4
"8",1988,6153,1
"9",1988,6164,2
"10",1988,6176,1
"11",1988,6192,1
"12",1988,6221,1
"13",1988,6224,1
"14",1988,6257,2
"15",1988,6299,2
"16",1988,6338,1
"17",1988,6407,8
"18",1988,6454,4
"19",1988,6467,1
"20",1988,6490,1
"21",1988,6548,3
"22",1988,6551,1
"23",1988,6564,1
"24",1988,8007,1
"25",1988,8047,1
"26",1988,12006,1
"27",1988,12007,6
"28",1988,12028,1
"29",1988,12042,2
"30",1988,12043,1
"31",1988,12055,1
"32",1988,12062,1
"33",1988,12093,2
"34",1988,12134,1
"35",1988,12145,1
"36",1988,12154,1
"37",1988,12158,1
"38",1988,12159,1
"39",1988,12167,1
"40",1988,12172,1
"41",1988,12191,1
"42",1988,12197,1
"43",1988,12203,6
"44",1988,12206,2
"45",1988,12213,1
"46",1988,12229,1
"47",1988,12243,2
"48",1988,12249,1
"49",1988,12255,2
"50",1988,12265,4
"51",1988,12272,1
"52",1988,12275,1
"53",1988,12292,1
"54",1988,12309,2
"55",1988,12319,3
"56",1988,12320,1
"57",1988,12323,1
"58",1988,17018,2
"59",1988,17057,1
"60",1988,17123,6
"61",1988,17130,1
"62",1988,17159,1
"63",1988,17179,1
"64",1988,17184,1
"65",1988,17195,1
"66",1988,17203,1
"67",1988,17223,10
"68",1988,17242,1
"69",1988,19002,1
"70",1988,19018,2
"71",1988,19052,1
"72",1988,19077,1
"73",1988,19079,2
"74",1988,19084,1
"75",1988,19103,4
"76",1988,19136,2
"77",1988,25006,1
"78",1988,25013,1
"79",1988,25026,1
"80",1988,25027,2
"81",1988,25028,1
"82",1988,25051,1
"83",1988,25061,26
"84",1988,25065,1
"85",1988,25069,2
"86",1988,25071,2
"87",1988,25101,2
"88",1988,25106,2
"89",1988,25111,4
"90",1988,25127,1
"91",1988,25158,1
"92",1988,25170,1
"93",1988,34015,1
"94",1988,34019,2
"95",1988,34029,1
"96",1988,34038,2
"97",1988,34048,1
"98",1988,34072,1
"99",1988,34075,2
"100",1988,34096,1
"101",1988,34104,1
"102",1988,34107,2
"103",1988,34109,1
"104",1988,53087,1
"105",1989,4022,1
"106",1989,4052,1
"107",1989,4068,1
"108",1989,4091,1
"109",1989,4093,1
"110",1989,4097,2
"111",1989,6049,2
"112",1989,6100,1
"113",1989,6116,1
"114",1989,6139,2
"115",1989,6142,1
"116",1989,6164,4
"117",1989,6192,1
"118",1989,6223,1
"119",1989,6257,8
"120",1989,6264,3
"121",1989,6296,7
"122",1989,6319,1
"123",1989,6345,1
"124",1989,6376,1
"125",1989,6388,1
"126",1989,6407,2
"127",1989,6454,1
"128",1989,6490,1
"129",1989,6538,1
"130",1989,6564,2
"131",1989,6594,1
"132",1989,6598,1
"133",1989,6602,1
"134",1989,8047,1
"135",1989,12007,6
"136",1989,12017,1
"137",1989,12031,2
"138",1989,12032,1
"139",1989,12033,3
"140",1989,12043,1
"141",1989,12053,1
"142",1989,12074,1
"143",1989,12093,1
"144",1989,12118,2
"145",1989,12140,1
"146",1989,12145,1
"147",1989,12152,1
"148",1989,12169,1
"149",1989,12172,2
"150",1989,12191,1
