"","diags","Freq"
"1","",6047
"2","     ",22608
"3","1000",1
"4","1101",2
"5","1103",2
"6","1104",1
"7","1120",8
"8","1121",1
"9","1122",2
"10","1124",1
"11","1125",1
"12","11283",1
"13","11289",1
"14","1173",2
"15","1177",1
"16","1179",3
"17","135",5
"18","138",1
"19","1398",1
"20","1400",3
"21","1403",1
"22","1406",2
"23","1420",1
"24","1428",1
"25","1429",1
"26","1430",12
"27","1431",1
"28","1439",4
"29","1450",3
"30","1452",22
"31","1453",7
"32","1455",11
"33","1456",1
"34","1458",4
"35","1459",2
"36","1471",4
"37","1473",3
"38","1478",4
"39","1479",7
"40","1481",1
"41","1490",1
"42","1498",2
"43","1539",1
"44","1541",2
"45","1600",895
"46","1602",1174
"47","1603",363
"48","1604",69
"49","1605",124
"50","1608",273
"51","1609",58
"52","1622",1
"53","1623",1
"54","1628",1
"55","1629",1
"56","1700",45
"57","1705",1
"58","1710",6
"59","1718",1
"60","1723",3
"61","1728",1
"62","1729",1
"63","1730",1
"64","1731",9
"65","1733",45
"66","1734",1
"67","1735",2
"68","1736",3
"69","1744",1
"70","1760",1
"71","1763",1
"72","185",12
"73","1888",1
"74","1889",1
"75","1890",1
"76","1901",39
"77","1902",1
"78","1903",1
"79","1907",7
"80","1910",1
"81","1911",3
"82","1918",2
"83","1919",5
"84","193",1
"85","1943",2
"86","1948",1
"87","1950",15
"88","1960",113
"89","1961",2
"90","1963",1
"91","1965",1
"92","1966",2
"93","1968",1
"94","1969",1
"95","1970",37
"96","1971",1
"97","1972",2
"98","1973",132
"99","1976",2
"100","1977",15
"101","1980",2
"102","1982",25
"103","1983",65
"104","1984",128
"105","1985",300
"106","1987",3
"107","19889",216
"108","1991",2
"109","20010",1
"110","20192",1
"111","20280",2
"112","20281",3
"113","2030",2
"114","20300",2
"115","2041",1
"116","20410",5
"117","20890",1
"118","2111",1
"119","2113",3
"120","2120",26
"121","2130",2
"122","2148",2
"123","2161",1
"124","2163",2
"125","2168",1
"126","2241",1
"127","2247",1
"128","2251",1
"129","2273",2
"130","22804",1
"131","2300",2
"132","2318",18
"133","2322",1
"134","2323",2
"135","2333",1
"136","2348",1
"137","2359",1
"138","2382",1
"139","2384",1
"140","2387",1
"141","2388",1
"142","2392",1
"143","2398",1
"144","2410",3
"145","2411",1
"146","24200",4
"147","24290",1
"148","2440",3
"149","2441",2
"150","2448",3
"151","2449",114
"152","2452",1
"153","2469",1
"154","25000",200
"155","25001",37
"156","25002",6
"157","25003",3
"158","25040",2
"159","25042",1
"160","25050",1
"161","25051",2
"162","25052",1
"163","25060",8
"164","25061",3
"165","25080",3
"166","25082",1
"167","25083",1
"168","25090",4
"169","25091",2
"170","25092",1
"171","25093",1
"172","2511",1
"173","2512",2
"174","2518",7
"175","2531",1
"176","2532",5
"177","2535",6
"178","2536",20
"179","2537",1
"180","2539",1
"181","2552",1
"182","2554",2
"183","2559",1
"184","2572",1
"185","260",1
"186","261",2
"187","262",1
"188","2630",3
"189","2631",1
"190","2638",2
"191","2639",32
"192","2662",2
"193","2720",86
"194","2721",2
"195","2724",92
"196","2725",1
"197","2728",1
"198","2738",3
"199","2740",1
"200","2749",14
"201","2752",10
"202","2753",4
"203","2754",6
"204","27541",9
"205","27542",4
"206","2760",7
"207","2761",81
"208","2762",4
"209","2763",6
"210","2764",3
"211","2765",28
"212","27651",6
"213","27652",2
"214","2766",6
"215","2767",11
"216","2768",85
"217","2769",8
"218","2780",7
"219","27800",29
"220","27801",3
"221","2800",31
"222","2809",14
"223","2810",2
"224","2819",3
"225","2824",2
"226","2825",2
"227","2830",1
"228","2841",1
"229","2848",8
"230","2851",122
"231","28521",2
"232","28522",9
"233","28529",6
"234","2859",140
"235","2860",1
"236","2862",1
"237","2867",1
"238","2869",2
"239","2874",4
"240","2875",9
"241","2880",3
"242","28803",1
"243","28850",1
"244","28860",8
"245","2888",10
"246","2893",3
"247","28959",1
"248","2898",3
"249","28981",1
"250","2899",1
"251","2900",4
"252","29010",1
"253","29011",1
"254","29040",3
"255","2910",8
"256","2912",2
"257","29181",3
"258","2920",1
"259","29212",1
"260","29281",1
"261","2930",4
"262","2939",7
"263","29410",14
"264","29411",1
"265","2948",11
"266","2949",1
"267","29520",1
"268","29560",1
"269","29572",1
"270","29590",8
"271","29592",1
"272","29620",3
"273","29622",1
"274","29630",1
"275","29633",1
"276","29650",2
"277","2967",2
"278","29680",2
"279","29690",1
"280","2971",1
"281","2982",1
"282","2989",5
"283","30000",32
"284","30001",3
"285","3003",1
"286","3004",18
"287","3019",1
"288","30300",1
"289","30301",1
"290","30390",8
"291","30391",7
"292","30393",3
"293","30500",11
"294","30501",9
"295","30503",6
"296","3051",170
"297","30510",4
"298","30511",7
"299","30523",2
"300","30550",1
"301","30561",1
"302","30590",1
"303","30593",1
"304","3079",4
"305","3090",4
"306","30924",1
"307","30928",2
"308","30981",2
"309","3099",1
"310","3109",3
"311","311",49
"312","31400",3
"313","31401",2
"314","317",4
"315","3181",2
"316","319",3
"317","3202",2
"318","32082",1
"319","3209",1
"320","3220",1
"321","3229",2
"322","3239",2
"323","3240",2
"324","325",1
"325","32723",12
"326","3310",19
"327","3314",4
"328","3319",1
"329","3320",14
"330","3331",4
"331","33394",2
"332","3369",1
"333","3371",1
"334","33729",1
"335","3379",1
"336","33818",2
"337","33829",4
"338","3383",1
"339","33989",1
"340","340",1
"341","3429",4
"342","34290",4
"343","3438",1
"344","3439",2
"345","3441",3
"346","34461",1
"347","3448",1
"348","34510",2
"349","3453",1
"350","34540",1
"351","3459",2
"352","34590",12
"353","34681",1
"354","34690",9
"355","3480",1
"356","3481",3
"357","3483",1
"358","34830",1
"359","3484",3
"360","3485",6
"361","3488",23
"362","34889",1
"363","3489",1
"364","3490",1
"365","34931",4
"366","34981",17
"367","34982",1
"368","34989",1
"369","3501",4
"370","3509",2
"371","3510",5
"372","3524",1
"373","3526",4
"374","3529",1
"375","3549",1
"376","3558",1
"377","3569",4
"378","3572",8
"379","3573",1
"380","3576",1
"381","3591",2
"382","35989",1
"383","36051",1
