,x,
1602,2576,"1602  = ""1602 : MAL NEO MAXILLARY SINUS"""
V581 ,2181,"V581  = ""V581 : CHEMOTHERAPY ENCOUNTER (End 2005)"""
1600,2125,"1600  = ""1600 : MAL NEO NASAL CAVITIES"""
1608,698,"1608  = ""1608 : MAL NEO ACCESS SINUS NEC"""
1603,666,"1603  = ""1603 : MAL NEO ETHMOIDAL SINUS"""
V5811,377,"V5811 = ""V5811: ANTINEOPLASTIC CHEMO ENC (Begin 2005)"""
2765,256,"2765  = ""2765 : HYPOVOLEMIA (End 2005)"""
1605,253,"1605  = ""1605 : MAL NEO SPHENOID SINUS"""
1609,224,"1609  = ""1609 : MAL NEO ACCESS SINUS NOS"""
1983,205,"1983  = ""1983 : SEC MAL NEO BRAIN/SPINE"""
V580 ,200,"V580  = ""V580 : RADIOTHERAPY ENCOUNTER"""
2880,171,"2880  = ""2880 : AGRANULOCYTOSIS"""
486,155,"486   = ""486  : PNEUMONIA- ORGANISM NOS"""
1604,119,"1604  = ""1604 : MALIG NEO FRONTAL SINUS"""
1985,102,"1985  = ""1985 : SECONDARY MALIG NEO BONE"""
389,94,"0389  = ""0389 : SEPTICEMIA NOS"""
1700,88,"1700  = ""1700 : MAL NEO SKULL/FACE BONE"""
6820,80,"6820  = ""6820 : CELLULITIS OF FACE"""
19889,75,"19889 = ""19889: SECONDARY MALIG NEO NEC"""
V5789,72,"V5789 = ""V5789: REHABILITATION PROC NEC"""
2848,71,"2848  = ""2848 : APLASTIC ANEMIAS NEC (end 2007)"""
1984,68,"1984  = ""1984 : SEC MALIG NEO NERVE NEC"""
27651,67,"27651 = ""27651: DEHYDRATION (Begin 2005)"""
1733,65,"1733  = ""1733 : MAL NEO SKIN FACE NEC"""
1960,65,"1960  = ""1960 : MAL NEO LYMPH-HEAD/NECK"""
5070,62,"5070  = ""5070 : FOOD/VOMIT PNEUMONITIS-"""
1970,60,"1970  = ""1970 : SECONDARY MALIG NEO LUNG"""
5280,48,"5280  = ""5280 : STOMATITIS"""
99859,48,"99859 = ""99859: OTH POSTOP INFECTION (Begin 1996)"""
7847,45,"7847  = ""7847 : EPISTAXIS"""
99662,44,"99662 = ""99662: REACT-OTH VASC DEV/GRAFT (Begin 1989)"""
7806,42,"7806  = ""7806 : PYREXIA UNKNOWN ORIGIN (end 2008)"""
2761,38,"2761  = ""2761 : HYPOSMOLALITY"""
5849,38,"5849  = ""5849 : ACUTE RENAL FAILURE NOS"""
1901,37,"1901  = ""1901 : MALIGN NEOPL ORBIT"""
