,x,
1602,1573,"1602  = ""1602 : MAL NEO MAXILLARY SINUS"""
1600,1232,"1600  = ""1600 : MAL NEO NASAL CAVITIES"""
4019,1077,"4019  = ""4019 : HYPERTENSION NOS"""
1603,524,"1603  = ""1603 : MAL NEO ETHMOIDAL SINUS"""
1985,487,"1985  = ""1985 : SECONDARY MALIG NEO BONE"""
1608,453,"1608  = ""1608 : MAL NEO ACCESS SINUS NEC"""
19889,336,"19889 = ""19889: SECONDARY MALIG NEO NEC"""
25000,283,"25000 = ""25000: DIABETES UNCOMPL TYPE II"""
1984,231,"1984  = ""1984 : SEC MALIG NEO NERVE NEC"""
3051,227,"3051  = ""3051 : TOBACCO USE DISORDER OCT 94"""
496,220,"496   = ""496  : CHR AIRWAY OBSTRUCT NEC"""
V1582,216,"V1582 = ""V1582: HISTORY OF TOBACCO USE"""
2851,207,"2851  = ""2851 : AC POSTHEMORRHAG ANEMIA-"""
1973,199,"1973  = ""1973 : SEC MALIG NEO RESP NEC"""
2859,192,"2859  = ""2859 : ANEMIA NOS-"""
1960,166,"1960  = ""1960 : MAL NEO LYMPH-HEAD/NECK"""
1605,161,"1605  = ""1605 : MAL NEO SPHENOID SINUS"""
2449,159,"2449  = ""2449 : HYPOTHYROIDISM NOS"""
41401,159,"41401 = ""41401: CORONARY ATHERO NATIVE VESSEL (Begin 1994)"""
53081,157,"53081 = ""53081: ESOPHAGEAL REFLUX (Begin 1993)"""
42731,147,"42731 = ""42731: ATRIAL FIBRILLATION"""
2720,141,"2720  = ""2720 : PURE HYPERCHOLESTEROLEM"""
2761,128,"2761  = ""2761 : HYPOSMOLALITY"""
2724,126,"2724  = ""2724 : HYPERLIPIDEMIA NEC/NOS"""
2768,120,"2768  = ""2768 : HYPOPOTASSEMIA"""
7847,117,"7847  = ""7847 : EPISTAXIS"""
412,106,"412   = ""412  : OLD MYOCARDIAL INFARCT"""
1983,105,"1983  = ""1983 : SEC MAL NEO BRAIN/SPINE"""
4280,98,"4280  = ""4280 : CONGESTIVE HEART FAILURE"""
4730,94,"4730  = ""4730 : CHR MAXILLARY SINUSITIS"""
V4581,93,"V4581 = ""V4581: AORTOCORONARY BYPASS"""
1604,91,"1604  = ""1604 : MALIG NEO FRONTAL SINUS"""
4739,87,"4739  = ""4739 : CHRONIC SINUSITIS NOS-"""
V153 ,85,"V153  = ""V153 : HX OF IRRADIATION"""
1609,78,"1609  = ""1609 : MAL NEO ACCESS SINUS NOS"""
49390,78,"49390 = ""49390: ASTHMA W/O STATUS ASTHM"""
3682,74,"3682  = ""3682 : DIPLOPIA"""
42789,71,"42789 = ""42789: CARDIAC DYSRHYTHMIAS NEC"""
5990,71,"5990  = ""5990 : URIN TRACT INFECTION NOS"""
99709,69,"99709 = ""99709: OTH NERV SYS CX (Begin 1995)"""
4781,66,"4781  = ""4781 : NASAL & SINUS DIS NEC"""
5180,66,"5180  = ""5180 : PULMONARY COLLAPSE"""
311,65,"311   = ""311  : DEPRESSIVE DISORDER NEC"""
4738,65,"4738  = ""4738 : CHRONIC SINUSITIS NEC"""
