,x,
9925,2448,"9925 = ""9925: INJECT CA CHEMOTHER NEC"""
    ,2078,#N/A
2262,1035,"2262 = ""2262: EXC MAX SINUS LESION NEC"""
2263,677,"2263 = ""2263: ETHMOIDECTOMY"""
,423,#N/A
9229,287,"9229 = ""9229: RADIOTHERAPEUT PROC NEC"""
9904,268,"9904 = ""9904: PACKED CELL TRANSFUSION"""
214,257,"0214 = ""0214: CHOROID PLEXECTOMY"""
311,253,"311  = ""311 : TEMPORARY TRACHEOSTOMY"""
2211,252,"2211 = ""2211: (CLOSED) NASAL SINUS BX (Begin 1988)"""
3893,235,"3893 = ""3893: OTHER VENOUS CATH (NEC) (Begin 1989)"""
7639,232,"7639 = ""7639: PART FACIAL OSTECTOM NEC"""
4041,209,"4041 = ""4041: UNILAT RAD NECK DISSECT"""
4311,204,"4311 = ""4311: PERCU ENDOSC GASTROSTOMY (Begin 1989)"""
2131,194,"2131 = ""2131: INTRANAS LES DESTRUCTION"""
215,151,"215  = ""215 : SUBMUC NASAL SEPT RESECT"""
2264,150,"2264 = ""2264: SPHENOIDECTOMY"""
2261,134,"2261 = ""2261: C-LUC EXC MAX SINUS LES"""
8607,133,"8607 = ""8607: INSERT VASC ACCESS DEV (Begin 1990)"""
159,131,"0159 = ""0159: OTHER BRAIN EXCISION"""
16,123,"0016 = ""0016: PRESSURIZED TREAT GRAFT (Begin 2004)"""
8703,115,"8703 = ""8703: C.A.T. SCAN OF HEAD"""
1651,113,"1651 = ""1651: RADICAL ORBITOMAXILLECT"""
2122,108,"2122 = ""2122: NASAL BIOPSY"""
9921,104,"9921 = ""9921: INJECT ANTIBIOTIC"""
2239,103,"2239 = ""2239: EXT MAXILLARY ANTROT NEC"""
9224,103,"9224 = ""9224: TELERADIO (PROTONS) (Begin 1991)"""
2242,101,"2242 = ""2242: FRONTAL SINUSECTOMY"""
2231,89,"2231 = ""2231: RADICAL MAXILLARY ANTROT"""
9227,80,"9227 = ""9227: RADIOACTIVE ELEM IMPLANT"""
2212,79,"2212 = ""2212: OPEN BIOPSY NASAL SINUS (Begin 1988)"""
331,77,"0331 = ""0331: SPINAL TAP"""
7644,75,"7644 = ""7644: TOT FACE OSTECT W RECONS"""
2183,66,"2183 = ""2183: TOT NASAL RECONSTRUCTION"""
8891,62,"8891 = ""8891: MRI OF BRAIN & BRAINSTEM (Begin 1986)"""
966,58,"966  = ""966 : ENTRAL INFUS NUTRIT SUB (Begin 1986)"""
7645,55,"7645 = ""7645: TOT FACE BONE OSTECT NEC"""
2132,51,"2132 = ""2132: NASAL LES DESTRUCT NEC"""
124,49,"0124 = ""0124: OTHER CRANIOTOMY"""
9928,49,"9928 = ""9928: ANTINEOPLASTIC IMMUNOTHERAPY (Begin 1994)"""
2732,47,"2732 = ""2732: WIDE EXC BONY PALATE LES"""
9915,47,"9915 = ""9915: PARENT INFUS NUTRIT SUB (Begin 1986)"""
2260,46,"2260 = ""2260: SINUSECTOMY NOS"""
8669,44,"8669 = ""8669: FREE SKIN GRAFT NEC"""
9929,44,"9929 = ""9929: INJECT/INFUSE NEC"""
3129,43,"3129 = ""3129: OTHER PERM TRACHEOSTOMY"""
4516,43,"4516 = ""4516: EGD WITH CLOSED BIOPSY (Begin 1988)"""
4131,38,"4131 = ""4131: BONE MARROW BIOPSY"""
9671,37,"9671 = ""9671: CONT MECH VENT < 96 HRS (Begin 1991)"""
151,36,"0151 = ""0151: EX CEREB MENINGEAL LES"""
2189,36,"2189 = ""2189: NASAL REPAIR NEC"""
2252,34,"2252 = ""2252: SPHENOIDOTOMY"""
4042,34,"4042 = ""4042: BILAT RAD NECK DISSECT"""
4513,34,"4513 = ""4513: SM BOWEL ENDOSCOPY NEC"""
1692,31,"1692 = ""1692: EXCISION ORBITAL LESION"""
2101,30,"2101 = ""2101: ANT NASAL PACK FOR EPIST"""
3491,30,"3491 = ""3491: THORACENTESIS"""
762,30,"0762 = ""0762: EXC PITUIT LES-TRANSPHEN"""
2103,29,"2103 = ""2103: CAUTERY TO STOP EPISTAX"""
211,29,"0211 = ""0211: SIMPLE SUTURE OF DURA"""
8605,28,"8605 = ""8605: SKIN INCIS & FB REMOVAL"""
4319,27,"4319 = ""4319: OTHER GASTROSTOMY (Begin 1989)"""
864,26,"0864 = ""0864: LID RECON-TARSOCONJ FLAP"""
8674,26,"8674 = ""8674: ATTACH PEDICLE GRAFT NEC"""
125,25,"0125 = ""0125: OTHER CRANIECTOMY"""
9339,25,"9339 = ""9339: PHYSICAL THERAPY NEC"""
9905,25,"9905 = ""9905: PLATELET TRANSFUSION"""
2188,24,"2188 = ""2188: SEPTOPLASTY NEC"""
8841,24,"8841 = ""8841: CONTR CEREBR ARTERIOGRAM"""
22,23,"0022 = ""0022: IVUS INTRATHORACIC VES (Begin 2004)"""
222,23,"222  = ""222 : INTRANASAL ANTROTOMY"""
387,23,"387  = ""387 : INTERRUPTION VENA CAVA"""
15,22,"0015 = ""0015: HIGH-DOSE INFUSION INTERLEUKIN-2 (IL-2) (Begin 2003)"""
2001,22,"2001 = ""2001: MYRINGOTOMY W INTUBATION"""
2912,22,"2912 = ""2912: PHARYNGEAL BIOPSY"""
9223,22,"9223 = ""9223: RADIOISOT TELERADIOTHER"""
9672,22,"9672 = ""9672: CONT MECH VENT 96+ HRS (Begin 1991)"""
1659,21,"1659 = ""1659: ORBITAL EXENTERATION NEC"""
2743,21,"2743 = ""2743: EXCISION OF LIP LES NEC"""
981,21,"0981 = ""0981: DACRYOCYSTORHINOSTOMY"""
3324,20,"3324 = ""3324: CLOSED BRONCHIAL BIOPSY"""
3882,20,"3882 = ""3882: OCCLUS HEAD/NECK VES NEC"""
8622,20,"8622 = ""8622: WOUND DEBRIDEMENT (Begin 1988)"""
8838,20,"8838 = ""8838: OTHER C.A.T. SCAN"""
2721,19,"2721 = ""2721: BONY PALATE BIOPSY"""
3722,19,"3722 = ""3722: LEFT HEART CARDIAC CATH"""
3891,19,"3891 = ""3891: ARTERIAL CATHETERIZATION"""
2169,18,"2169 = ""2169: TURBINECTOMY NEC"""
8321,17,"8321 = ""8321: SOFT TISSUE BIOPSY"""
8872,17,"8872 = ""8872: DX ULTRASOUND-HEART"""
9604,17,"9604 = ""9604: INSERT ENDOTRACHEAL TUBE"""
2102,16,"2102 = ""2102: POST NASAL PAC FOR EPIST"""
212,16,"0212 = ""0212: BRAIN MENINGE REPAIR NEC"""
2241,16,"2241 = ""2241: FRONTAL SINUSOTOMY"""
7631,16,"7631 = ""7631: PARTIAL MANDIBULECTOMY"""
7935,16,"7935 = ""7935: OPEN REDUC-INT FIX FEMUR"""
1609,15,"1609 = ""1609: ORBITOTOMY NEC"""
245,15,"245  = ""245 : ALVEOLOPLASTY"""
3142,15,"3142 = ""3142: LARYGNOSCOPY/TRACHEOSCOP"""
2731,14,"2731 = ""2731: LOC EXC BONY PALATE LES"""
3995,14,"3995 = ""3995: HEMODIALYSIS"""
8611,14,"8611 = ""8611: SKIN & SUBQ BIOPSY"""
9918,14,"9918 = ""9918: INJECT/INFUSE ELECTROLYT"""
2742,13,"2742 = ""2742: WIDE EXCISION OF LIP LES"""
2911,13,"2911 = ""2911: PHARYNGOSCOPY"""
2939,13,"2939 = ""2939: EXCIS/DESTR LES PHAR NEC (Begin 1991)"""
4011,13,"4011 = ""4011: LYMPHATIC STRUCT BIOPSY"""
9702,13,"9702 = ""9702: REPLACE GASTROSTOMY TUBE"""
2130,12,"2130 = ""2130: NASAL LESION EXCIS NOS"""
2186,12,"2186 = ""2186: LIMITED RHINOPLASTY"""
2219,12,"2219 = ""2219: NASAL SINUS DX PROC NEC"""
2749,12,"2749 = ""2749: EXCISION OF MOUTH NEC"""
8663,12,"8663 = ""8663: FULL-THICK SKIN GRFT NEC"""
9214,12,"9214 = ""9214: BONE SCAN"""
7611,11,"7611 = ""7611: FACIAL BONE BIOPSY"""
8606,11,"8606 = ""8606: INSERT INFUSION PUMP (Begin 1987)"""
8801,11,"8801 = ""8801: C.A.T. SCAN OF ABDOMEN"""
9232,11,"9232 = ""9232: MULTISOURC PHOTON RADIOSURG (Begin 1998)"""
206,10,"0206 = ""0206: CRANIAL OSTEOPLASTY NEC"""
229,10,"229  = ""229 : OTHER NASAL SINUS OPS"""
8604,10,"8604 = ""8604: OTHER SKIN & SUBQ I & D"""
863,10,"0863 = ""0863: LID RECONST W HAIR GRAFT"""
9390,10,"9390 = ""9390: CONT POS AIRWAY PRESSURE (Begin 1988)"""
309,9,"0309 = ""0309: SPINAL CANAL EXPLOR NEC"""
3327,9,"3327 = ""3327: CLOS ENDOSCOPIC LUNG BX (Begin 1987)"""
3404,9,"3404 = ""3404: INSERT INTERCOSTAL CATH"""
