Diagnosis,Number,
4019,13156,"4019  = ""4019 : HYPERTENSION NOS"""
1479,11422,"1479  = ""1479 : MAL NEO NASOPHARYNX NOS"""
V581,7630,"V581  = ""V581 : CHEMOTHERAPY ENCOUNTER (End 2005)"""
37923,6967,"37923 = ""37923: VITREOUS HEMORRHAGE"""
1602,5860,"01602 = ""01602: TB OF KIDNEY-EXAM UNKN"""
1478,5584,"1478  = ""1478 : MAL NEO NASOPHARYNX NEC"""
25000,4194,"25000 = ""25000: DIABETES UNCOMPL TYPE II"""
1985,4147,"1985  = ""1985 : SECONDARY MALIG NEO BONE"""
1600,3914,"01600 = ""01600: TB OF KIDNEY-UNSPEC"""
36202,3763,"36202 = ""36202: PROLIF DIAB RETINOPATHY"""
25051,3681,"25051 = ""25051: DIAB EYE MANIF TYPE I"""
2765,3610,"2765  = ""2765 : HYPOVOLEMIA (End 2005)"""
2859,3443,"2859  = ""2859 : ANEMIA NOS-"""
1960,3237,"1960  = ""1960 : MAL NEO LYMPH-HEAD/NECK"""
36181,3166,"36181 = ""36181: RETINAL TRACTION DETACH"""
37601,2917,"37601 = ""37601: ORBITAL CELLULITIS"""
496,2916,"496   = ""496  : CHR AIRWAY OBSTRUCT NEC"""
19889,2540,"19889 = ""19889: SECONDARY MALIG NEO NEC"""
2768,2459,"2768  = ""2768 : HYPOPOTASSEMIA"""
V431,2407,"V431  = ""V431 : LENS REPLACEMENT NEC"""
2761,2389,"2761  = ""2761 : HYPOSMOLALITY"""
36100,2298,"36100 = ""36100: DETACHMNT W DEFECT NOS"""
3051,2154,"3051  = ""3051 : TOBACCO USE DISORDER OCT 94"""
2449,2055,"2449  = ""2449 : HYPOTHYROIDISM NOS"""
V1582,2055,"V1582 = ""V1582: HISTORY OF TOBACCO USE"""
37123,2042,"37123 = ""37123: BULLOUS KERATOPATHY"""
42731,2027,"42731 = ""42731: ATRIAL FIBRILLATION"""
1471,1996,"1471  = ""1471 : MAL NEO POST NASOPHARYNX"""
4280,1955,"4280  = ""4280 : CONGESTIVE HEART FAILURE"""
1970,1892,"1970  = ""1970 : SECONDARY MALIG NEO LUNG"""
1983,1820,"1983  = ""1983 : SEC MAL NEO BRAIN/SPINE"""
2639,1768,"2639  = ""2639 : PROTEIN-CAL MALNUTR NOS"""
25050,1763,"25050 = ""25050: DIAB EYE MANIF TYPE II"""
8026,1704,"8026  = ""8026 : FX ORBITAL FLOOR-CLOSED"""
V441,1662,"V441  = ""V441 : GASTROSTOMY STATUS"""
41401,1658,"41401 = ""41401: CORONARY ATHERO NATIVE VESSEL (Begin 1994)"""
36189,1642,"36189 = ""36189: RETINAL DETACHMENT NEC"""
8711,1635,"V8711 = ""V8711: CNTCT/EXP AROMATC AMINES (Begin 2008)"""
1603,1608,"01603 = ""01603: TB OF KIDNEY-MICRO DX"""
36001,1569,"36001 = ""36001: ACUTE ENDOPHTHALMITIS"""
53081,1547,"53081 = ""53081: ESOPHAGEAL REFLUX (Begin 1993)"""
5990,1534,"5990  = ""5990 : URIN TRACT INFECTION NOS"""
36229,1529,"36229 = ""36229: PROLIF RETINOPATHY NEC"""
8024,1524,"8024  = ""8024 : FX MALAR/MAXILLARY-CLOSE"""
36000,1492,"36000 = ""36000: PURULENT ENDOPHTHALM NOS"""
5280,1477,"5280  = ""5280 : STOMATITIS"""
36256,1466,"36256 = ""36256: MACULAR PUCKERING"""
E8788,1453,"E8788 = ""E8788: ABN REACT-SURG PROC NEC"""
2880,1449,"2880  = ""2880 : AGRANULOCYTOSIS"""
V5811,1437,"V5811 = ""V5811: ANTINEOPLASTIC CHEMO ENC (Begin 2005)"""
25001,1413,"25001 = ""25001: DIABETES UNCOMPL TYPE I"""
37931,1349,"37931 = ""37931: APHAKIA"""
1608,1338,"1608  = ""1608 : MAL NEO ACCESS SINUS NEC"""
24200,1330,"24200 = ""24200: TOX DIF GOITER NO CRISIS"""
486,1314,"486   = ""486  : PNEUMONIA- ORGANISM NOS"""
1977,1313,"1977  = ""1977 : SECOND MALIG NEO LIVER"""
1120,1297,"01120 = ""01120: TB LUNG W CAVITY-UNSPEC"""
