Diagnosis,Number
73399,1
E9179,1
58381,1
V409,1
53642,1
53641,1
87321,1
9679,2
11289,1
56400,1
7810,1
30420,7
30421,1
36100,1
8901,2
36104,1
92303,1
2910,3
2851,4
3331,1
99662,2
E8120,1
1700,1
4733,1
4730,1
78039,4
5856,1
29289,1
E9331,1
29281,2
8600,1
36202,1
36201,2
2825,1
3814,2
28850,1
34981,1
2768,7
4210,1
80220,1
2763,1
2762,1
2761,6
2449,1
2765,4
7863,1
37520,1
7905,1
7907,5
85189,1
80507,1
27651,1
85180,1
E9650,2
3090,2
80112,1
29620,4
87361,1
87363,1
87364,1
70715,1
5130,1
37006,1
V140,1
41512,1
41519,1
71536,1
6802,1
28860,1
E8499,4
1991,1
30410,4
5180,3
5185,2
30550,3
78449,1
5225,1
70219,1
V441,1
2859,7
3638,1
4619,1
42789,1
4611,1
4610,3
4612,1
7070,1
V08,1
1603,1
30520,52
1175,1
1173,1
9110,1
V5861,1
7820,1
07070,3
4660,1
25083,1
1473,1
31230,1
1471,5
1478,5
1479,19
V163,1
36181,2
7224,1
494,1
8505,2
496,2
53082,1
9160,1
9982,3
9563,1
9565,1
81000,2
30490,1
53550,1
71902,1
5996,1
5990,2
80410,1
87330,1
1453,1
78060,1
3569,1
82021,1
36504,1
E8529,1
9219,1
71690,1
25053,1
25051,1
25050,1
80849,1
28529,1
30561,1
30560,14
30563,1
30562,1
5258,1
37739,1
5849,1
07030,1
8208,1
8750,1
80106,1
4549,1
V4611,1
E8788,1
4538,1
29530,2
1430,1
5409,1
47819,2
515,1
9248,1
52100,3
2459,1
8509,2
78903,1
7856,3
3698,1
2880,3
E8498,1
80100,3
80101,1
V1251,1
E8490,2
E8497,1
80061,1
5109,1
9584,2
0417,1
82382,1
1912,1
90081,1
5715,1
5713,1
5712,2
36019,1
2752,1
1600,2
37272,5
V425,1
41071,1
25062,1
30430,1
83501,1
83500,1
30400,19
30401,2
V4578,1
1960,4
E9361,1
V1581,3
19889,5
V1582,7
25000,6
2875,1
2874,1
V1588,1
E975,1
0388,1
29181,5
80703,1
80701,1
V5789,1
3051,25
4710,1
5368,1
7062,1
37601,8
5939,1
78720,1
29590,2
30751,1
3659,1
80221,1
85300,1
80225,1
80224,1
85306,1
8710,3
8711,7
8712,3
8713,1
8714,2
8716,1
78791,1
V4582,1
V4589,1
8028,6
8029,1
8020,11
8021,4
8026,20
8027,2
8024,19
8025,2
82111,1
56882,1
4409,1
V1209,1
29602,1
412,1
920,2
80136,1
53540,1
311,6
41401,2
36189,1
5070,1
6820,3
6822,1
6823,2
6827,1
25043,1
2930,2
V065,1
81513,1
30573,1
30570,6
5249,1
5244,1
30470,1
V5811,3
3619,1
30301,2
30300,30
2800,2
E8150,1
4271,1
30000,3
30001,1
9500,3
30390,4
30391,2
7847,2
30501,1
7842,1
80172,1
86601,1
3682,2
7992,1
1452,1
7994,1
34590,1
99831,1
2638,1
87349,1
87343,1
87342,6
87341,1
68110,1
9181,2
9222,1
9221,1
36000,2
V600,4
E9688,1
49390,4
E9680,1
4846,1
E9682,2
86502,1
86504,1
0785,1
78099,1
9042,1
1609,1
1608,2
4019,11
8080,3
1977,1
1976,1
4011,1
1602,3
1605,2
1604,1
1970,1
2967,4
27800,1
40391,1
79029,1
78009,1
37205,1
E9229,1
30500,13
7801,1
3488,1
7806,2
7809,1
3485,1
30981,1
37854,1
37855,1
07051,2
3643,1
37852,1
07054,2
8703,1
8702,1
8701,4
8700,2
81322,1
8709,1
8708,4
5601,2
7872,2
86101,2
9140,1
1419,1
36320,1
53011,1
80126,1
80122,2
80121,1
9089,1
28800,1
042,1
7895,1
E9390,1
V153,2
V090,2
2929,1
04112,1
04111,1
2920,7
9213,8
5239,1
1985,7
3210,1
1983,3
82310,1
1731,1
1733,1
30540,4
9975,1
3899,1
E9300,1
37810,1
E8160,1
37926,1
37923,3
78701,5
81380,1
78702,1
49120,1
5649,1
E9600,1
80162,1
25091,1
80161,1
4928,1
1110,1
37630,3
2724,3
78820,1
87351,1
5283,1
36960,2
37632,2
9190,1
37633,1
7231,1
9212,3
486,3
9211,1
5738,1
36404,1
V581,1
V580,1
36400,1
80420,2
30924,1
03811,1
51881,5
36815,1
4580,1
