Procedure,Number
7817,1
215,1
762,1
7965,1
0139,2
8622,2
3322,2
3323,1
9671,6
9672,2
4021,1
8015,1
4223,2
9465,1
4673,1
4709,1
2009,1
8659,3
0205,1
7691,1
7692,3
2242,2
7966,1
0125,1
0124,2
1091,1
8674,1
1151,6
966,1
1319,1
8382,1
1652,1
9821,1
3404,1
022,2
9907,1
9904,6
8872,2
2319,2
8876,1
8703,6
415,1
0331,1
2253,1
2252,2
5011,1
8609,1
016,2
311,4
8601,1
8607,1
8604,1
270,1
0852,2
0851,4
5498,1
7975,1
0859,1
8689,1
7971,1
2309,1
1454,1
7639,2
4041,1
9383,2
9919,1
2172,4
2079,1
2171,5
0202,2
8801,1
9462,5
2262,5
2263,5
1651,1
8965,3
8838,5
0109,1
245,1
7909,1
247,1
387,1
7906,1
8954,2
1641,1
1649,2
8891,1
0212,2
432,1
1221,1
0869,1
1213,2
0973,1
2199,1
9633,1
7916,1
7915,1
1424,1
222,3
3893,8
3891,1
1672,1
1609,41
7925,1
9339,1
9504,1
2181,1
229,1
1432,1
2189,1
161,1
2211,1
3882,1
4523,1
3142,2
0884,1
0885,1
5794,1
0881,10
1452,2
2751,1
8669,2
2101,1
2106,1
7933,1
1160,1
7678,1
2732,1
7936,1
2912,3
9229,3
7679,2
7676,2
7677,1
7674,10
9224,1
7672,12
7675,2
9929,1
4513,2
4516,1
8848,1
1682,2
1691,2
1292,2
9423,1
1291,3
2502,1
1449,1
4311,4
9604,5
9355,2
9354,1
4319,1
9359,1
0151,1
149,2
9656,1
0944,1
9215,1
2239,1
1479,3
1281,1
4011,1
1602,11
1289,2
1472,7
1473,6
1471,4
1474,3
1475,3
1689,3
9921,4
7749,1
9925,8
0159,2
